,date,guns,virus,boredom,ammo,gun stores,ar15,disinfectant,bleach,toilet paper,netflix,porn,diy
0,2020-01-05,46,2,26,32,14,27,4,38,3,58,75,52
1,2020-01-12,47,2,26,30,13,26,4,39,3,54,73,54
2,2020-01-19,47,14,31,29,13,25,4,40,3,54,73,52
3,2020-01-26,45,33,27,30,12,25,8,42,3,51,72,51
4,2020-02-02,52,18,23,28,13,24,8,41,3,49,72,53
5,2020-02-09,47,15,26,29,13,25,8,41,3,49,71,56
6,2020-02-16,48,12,27,29,14,25,6,42,3,50,73,53
7,2020-02-23,49,33,25,31,15,25,11,45,4,49,72,51
8,2020-03-01,52,43,27,30,16,23,29,49,23,49,71,54
9,2020-03-08,50,74,31,40,23,26,64,63,96,51,70,55
10,2020-03-15,70,100,65,100,100,42,95,93,100,84,72,64
11,2020-03-22,64,84,100,74,68,43,96,97,51,99,75,79
12,2020-03-29,58,52,88,54,50,39,100,100,36,100,75,89
13,2020-04-05,56,37,75,48,35,38,77,96,28,94,75,99
14,2020-04-12,59,28,70,46,36,39,55,85,19,89,74,90
